energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,label
984.0,0.0,21.0,8.0,0.46,0.0,3.5,Unhealthy
1061.0,0.0,18.0,10.0,0.0,0.0,3.1,Healthy
1913.0,12.0,19.0,8.5,0.0,10.0,57.0,Healthy
1631.0,2.6,2.8,13.4,0.68,4.4,75.0,Healthy
1178.0,3.6,6.8,7.7,1.1,8.1,43.0,Healthy
932.0,3.0,24.0,5.0,0.32,0.1,3.0,Unhealthy
1306.0,4.9,8.6,9.2,1.0,4.0,47.0,Moderate
1248.0,4.0,26.0,7.0,1.2,0.0,9.0,Unhealthy
399.0,8.0,2.7,3.4,0.0,2.0,14.0,Moderate
306.0,9.0,1.7,1.9,0.0,0.0,12.4,Unhealthy
1524.0,1.7,7.1,11.0,0.02,11.0,58.0,Healthy
991.6,0.0,23.5,4.9,0.0,0.0,4.9,Healthy
2567.0,4.8,53.3,24.5,0.01,12.1,4.8,Healthy
1526.0,13.0,6.0,12.0,0.04,10.0,60.0,Healthy
102.0,0.5,1.7,0.7,0.05,0.5,1.6,Healthy
187.0,4.0,1.5,0.5,0.09,0.5,7.0,Moderate
2487.9,6.5,47.6,20.5,0.02,5.2,19.8,Healthy
942.0,4.3,21.0,5.4,0.75,0.2,4.3,Unhealthy
1053.0,5.5,4.3,7.5,1.1,6.5,42.0,Healthy
953.0,0.0,21.0,4.8,0.0,0.0,4.0,Healthy
2181.33333333333,0.0,32.0,5.33333333333333,0.28,0.0,53.3333333333333,Unhealthy
1496.0,13.0,13.0,8.6,0.8,4.5,49.0,Moderate
1233.0,3.0,8.0,11.0,1.0,8.7,40.0,Healthy
1629.6,8.2,8.8,12.0,0.1,10.0,60.0,Healthy
1604.0,8.0,0.9,7.0,1.1,3.0,84.0,Unhealthy
324.08,13.5,1.38,2.48,0.0,0.0,13.58,Unhealthy
4.0,7.5,3.0,3.5,0.0,1.1,16.0,Moderate
2607.0,8.7,52.0,25.0,0.86,6.7,12.0,Moderate
1206.0,3.5,6.5,12.0,1.0,6.0,42.0,Healthy
1981.4,0.64,27.0,6.2,0.83,5.5,49.0,Moderate
1306.0,0.1,26.8,6.9,1.16,6.15,8.7,Moderate
56.0,0.0,1.2,0.5,0.15,0.2,0.0,Healthy
1178.0,3.6,6.8,7.7,1.1,8.1,43.0,Healthy
2227.0,1.4,31.0,5.9,1.1,3.5,56.0,Unhealthy
1569.9,1.5,1.7,12.0,0.48,3.5,75.0,Healthy
824.0,2.0,2.9,5.0,1.1,11.0,32.0,Healthy
1636.0,2.6,4.9,12.0,1.8,5.1,71.0,Unhealthy
1569.0,18.9,8.4,9.3,0.03,8.5,60.7,Moderate
1686.0,3.2,7.6,13.0,1.6,5.2,67.0,Unhealthy
435.24,14.3,3.3,3.4,0.0,1.53,14.3,Moderate
1874.0,22.0,15.0,9.0,0.03,5.8,65.0,Unhealthy
2641.0,14.0,55.3,9.0,0.01,11.5,20.6,Unhealthy
301.0,4.5,4.5,1.0,0.71,3.0,5.5,Healthy
974.2,2.4,0.8,10.1,0.905,2.9,44.1,Healthy
336.2,5.0,0.2,4.7,0.59,3.7,12.9,Healthy
1612.0,0.8,4.0,9.2,0.3,6.2,74.0,Healthy
1687.0,7.0,6.2,12.0,1.6,7.7,70.0,Unhealthy
2826.0,0.0,75.0,0.1,0.5,0.0,0.2,Unhealthy
1202.0,6.5,5.2,8.1,1.18,5.0,47.1,Moderate
245.2,3.6,0.5,9.5,0.15,0.5,3.6,Healthy
1860.0,5.3,13.0,5.9,0.84,6.2,73.0,Moderate
151.2,4.5,0.0,0.1,0.0025,0.2,8.7,Healthy
1760.0,7.3,10.0,13.0,0.87,6.7,65.0,Moderate
1264.0,2.1,5.2,9.1,1.0,1.6,53.2,Moderate
2435.0,11.2,48.2,24.3,0.7,6.5,24.8,Moderate
1765.0,12.0,13.0,10.0,0.01,7.5,62.0,Moderate
1847.0,14.0,17.0,11.0,0.02,9.9,56.0,Healthy
2531.0,11.4,43.4,26.9,1.0,7.7,16.6,Moderate
