product_name,energy_100g,sugars_100g,fat_100g,proteins_100g,salt_100g,fiber_100g,carbohydrates_100g,nutrition_grade
Fromage Blanc Nature,337.4,,12.0,7.3,,,6.1,unknown
Jben,984.0,0.0,21.0,8.0,0.46,0.0,3.5,d
Cream cheese,1061.0,0.0,18.0,10.0,0.0,0.0,3.1,a
cruesly mélange de noix,1913.0,12.0,19.0,8.5,0.0,10.0,57.0,b
Tartines craquantes au sarrasin imp,1631.0,2.6,2.8,13.4,0.68,4.4,75.0,a
Cheddar,1032.0,6.0,21.0,9.0,1.5,,6.0,d
Pain de mie american sandwich complet sans sucres ajoutés 600g,1178.0,3.6,6.8,7.7,1.1,8.1,43.0,b
Cappy PULPY,165.0,7.0,0.0,0.0,0.126,,9.0,e
Goldium crémeux,932.0,3.0,24.0,5.0,0.32,0.1,3.0,d
Pain de mie Bio grandes tranches céréales & graines 500g,1306.0,4.9,8.6,9.2,1.0,4.0,47.0,c
Frommage fondu,1248.0,4.0,26.0,7.0,1.2,0.0,9.0,d
Assil vanille,399.0,8.0,2.7,3.4,0.0,2.0,14.0,c
كيفير,173.0,0.0,2.5,3.0,0.0,,4.8,b
Jamila رايبي,306.0,9.0,1.7,1.9,0.0,0.0,12.4,e
Flocons d'avoine,1524.0,1.7,7.1,11.0,0.02,11.0,58.0,a
le blanc nature 900g araai,991.6,0.0,23.5,4.9,0.0,0.0,4.9,a
Mandorle,2567.0,4.8,53.3,24.5,0.01,12.1,4.8,a
"Muesli Superfruits Raisins, cassis, cranberry, myrtille",1526.0,13.0,6.0,12.0,0.04,10.0,60.0,a
BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR,102.0,0.5,1.7,0.7,0.05,0.5,1.6,b
Avoine - Boisson biologique,187.0,4.0,1.5,0.5,0.09,0.5,7.0,c
Cashew Nuts natural,2487.9,6.5,47.6,20.5,0.02,5.2,19.8,b
Levure de bière,1356.0,1.2,4.6,46.0,0.32,25.0,12.0,not-applicable
b,942.0,4.3,21.0,5.4,0.75,0.2,4.3,d
